Bulan;Wisatawan
01/01/2017;1107968
01/02/2017;1023388
01/03/2017;1059777
01/04/2017;1171386
01/05/2017;1148588
01/06/2017;1144001
01/07/2017;1370591
01/08/2017;1393243
01/09/2017;1250231
01/10/2017;1161565
01/11/2017;1062030
01/12/2017;1147031
01/01/2018;1097839
01/02/2018;1197503
01/03/2018;1363426
01/04/2018;1302321
01/05/2018;1242705
01/06/2018;1322674
01/07/2018;1547231
01/08/2018;1511021
01/09/2018;1370943
01/10/2018;1291605
01/11/2018;1157483
01/12/2018;1405554
01/01/2019;1201735
01/02/2019;1243996
01/03/2019;1311911
01/04/2019;1274231
01/05/2019;1249536
01/06/2019;1434103
01/07/2019;1468173
01/08/2019;1530268
01/09/2019;1388719
01/10/2019;1346434
01/11/2019;1280781
01/12/2019;1377067
01/01/2020;1290411
01/02/2020;872765
01/03/2020;486155
01/04/2020;158066
01/05/2020;161842
01/06/2020;156561
01/07/2020;155742
01/08/2020;161549
01/09/2020;148984
01/10/2020;152293
01/11/2020;144476
01/12/2020;164079
01/01/2021;126515
01/02/2021;105788
01/03/2021;119979
01/04/2021;112756
01/05/2021;139433
01/06/2021;126844
01/07/2021;127249
01/08/2021;118533
01/09/2021;120100
01/10/2021;146137
01/11/2021;150577
01/12/2021;163619
01/01/2022;136298
01/02/2022;117509
01/03/2022;158629
01/04/2022;230076
01/05/2022;354920
01/06/2022;483883
01/07/2022;645121
01/08/2022;670509
01/09/2022;700606
01/10/2022;734228
01/11/2022;704783
01/12/2022;952469
01/01/2023;735947
01/02/2023;701931
01/03/2023;869243
01/04/2023;865810
01/05/2023;953713
01/06/2023;1062789
01/07/2023;1121189
01/08/2023;1132638
01/09/2023;1070245
01/10/2023;978499
01/11/2023;917407
01/12/2023;0
