Bulan;Wisatawan;;;;;;;;;;;;;;
01/01/2017;746666;;;;;;;;;;;;;;
01/02/2017;720428;;;;;;;;;;;;;;
01/03/2017;749150;;;;;;;;;;;;;;
01/04/2017;812927;;;;;;;;;;;;;;
01/05/2017;809941;;;;;;;;;;;;;;
01/06/2017;763470;;;;;;;;;;;;;;
01/07/2017;1002611;;;;;;;;;;;;;;
01/08/2017;1014475;;;;;;;;;;;;;;
01/09/2017;883842;;;;;;;;;;;;;;
01/10/2017;802479;;;;;;;;;;;;;;
01/11/2017;701307;;;;;;;;;;;;;;
01/12/2017;663359;;;;;;;;;;;;;;
01/01/2018;643177;;;;;;;;;;;;;;
01/02/2018;740440;;;;;;;;;;;;;;
01/03/2018;845635;;;;;;;;;;;;;;
01/04/2018;848734;;;;;;;;;;;;;;
01/05/2018;805452;;;;;;;;;;;;;;
01/06/2018;817405;;;;;;;;;;;;;;
01/07/2018;1073385;;;;;;;;;;;;;;
01/08/2018;1006054;;;;;;;;;;;;;;
01/09/2018;911326;;;;;;;;;;;;;;
01/10/2018;855240;;;;;;;;;;;;;;
01/11/2018;716298;;;;;;;;;;;;;;
01/12/2018;825635;;;;;;;;;;;;;;
01/01/2019;706704;;;;;;;;;;;;;;
01/02/2019;731517;;;;;;;;;;;;;;
01/03/2019;758821;;;;;;;;;;;;;;
01/04/2019;772038;;;;;;;;;;;;;;
01/05/2019;711229;;;;;;;;;;;;;;
01/06/2019;829067;;;;;;;;;;;;;;
01/07/2019;975870;;;;;;;;;;;;;;
01/08/2019;977033;;;;;;;;;;;;;;
01/09/2019;900409;;;;;;;;;;;;;;
01/10/2019;855796;;;;;;;;;;;;;;
01/11/2019;777244;;;;;;;;;;;;;;
01/12/2019;838978;;;;;;;;;;;;;;
01/01/2020;821851;;;;;;;;;;;;;;
01/02/2020;562150;;;;;;;;;;;;;;
01/03/2020;255067;;;;;;;;;;;;;;
01/04/2020;783;;;;;;;;;;;;;;
01/05/2020;506;;;;;;;;;;;;;;
01/06/2020;1463;;;;;;;;;;;;;;
01/07/2020;4069;;;;;;;;;;;;;;
01/08/2020;5728;;;;;;;;;;;;;;
01/09/2020;9991;;;;;;;;;;;;;;
01/10/2020;12280;;;;;;;;;;;;;;
01/11/2020;16085;;;;;;;;;;;;;;
01/12/2020;23599;;;;;;;;;;;;;;
01/01/2021;1731;;;;;;;;;;;;;;
01/02/2021;7110;;;;;;;;;;;;;;
01/03/2021;12852;;;;;;;;;;;;;;
01/04/2021;18326;;;;;;;;;;;;;;
01/05/2021;14040;;;;;;;;;;;;;;
01/06/2021;16234;;;;;;;;;;;;;;
01/07/2021;7175;;;;;;;;;;;;;;
01/08/2021;1609;;;;;;;;;;;;;;
01/09/2021;4748;;;;;;;;;;;;;;
01/10/2021;15722;;;;;;;;;;;;;;
01/11/2021;19909;;;;;;;;;;;;;;
01/12/2021;17786;;;;;;;;;;;;;;
01/01/2022;14555;;;;;;;;;;;;;;
01/02/2022;17834;;;;;;;;;;;;;;
01/03/2022;39062;;;;;;;;;;;;;;
01/04/2022;97401;;;;;;;;;;;;;;
01/05/2022;183830;;;;;;;;;;;;;;
01/06/2022;280482;;;;;;;;;;;;;;
01/07/2022;387184;;;;;;;;;;;;;;
01/08/2022;422500;;;;;;;;;;;;;;
01/09/2022;424198;;;;;;;;;;;;;;
01/10/2022;447074;;;;;;;;;;;;;;
01/11/2022;429979;;;;;;;;;;;;;;
01/12/2022;551927;;;;;;;;;;;;;;
01/01/2023;485245;;;;;;;;;;;;;;
01/02/2023;488080;;;;;;;;;;;;;;
01/03/2023;554664;;;;;;;;;;;;;;
01/04/2023;560434;;;;;;;;;;;;;;
01/05/2023;659064;;;;;;;;;;;;;;
01/06/2023;707476;;;;;;;;;;;;;;
01/07/2023;819496;;;;;;;;;;;;;;
01/08/2023;826446;;;;;;;;;;;;;;
01/09/2023;777537;;;;;;;;;;;;;;
01/10/2023;707584;;;;;;;;;;;;;;
01/11/2023;646924;;;;;;;;;;;;;;
01/12/2023;0;;;;;;;;;;;;;;
